gccsa_name,population_density,population,other_language_percentage,gccsa_code,christianity_percentage,non_australian_citizen_percentage,australian_citizen_percentage
Rest of NSW,3.4,2707935,5.8,1RNSW,61.5,4,88.7
Greater Sydney,406.3,5024923,35.8,1GSYD,51.7,14.1,79.5
Rest of Vic.,6.7,1458785,6,2RVIC,53.1,4.3,88.2
Greater Melbourne,471.8,4714387,32.3,2GMEL,46.3,14.2,79.6
Greater Brisbane,149.1,2362672,16.1,3GBRI,53.6,12,81.4
Rest of Qld,1.4,2482480,7.9,3RQLD,58.4,7.8,84.1
Rest of SA,0.4,388786,4.9,4RSAU,52.5,4,88.9
Greater Adelaide,406.2,1324057,19.7,4GADE,48.2,9.9,84.7
Greater Perth,314.7,2019263,20.1,5GPER,49.7,14.7,78.3
Rest of WA,0.2,536715,8.3,5RWAU,50.2,8.1,82
Greater Hobart,133.3,225913,7.6,6GHOB,47.3,5.2,88.4
Rest of Tas.,4.4,291601,3.6,6RTAS,51.7,3.8,89.5
Rest of NT,0.1,98576,44,7RNTE,52.3,6,83.3
Greater Darwin,46.5,147102,20.3,7GDAR,44.8,12,75.8
Australian Capital Territory,170.9,403104,21.8,8ACTE,45.4,9.2,84.6
